■頭部パーツ
○名称	タイプ	重量	スロット数	装甲	射撃補正	索敵	ロックオン	DEF回復	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
クーガーI型	中量型	610	1	C+	C	D	C+	D+	重量	598.5	スロット数	2	射撃補正	4
クーガーII型	中量型	640	1	C+	C	C	D+	C+	重量	608	スロット数	2	射撃補正	4
クーガーS型	中量型	650	1	C+	B+	D	B+	D-	重量	617.5	スロット数	2	射撃補正	20
クーガーNX	中量型	670	1	B-	B	D	B-	D+	重量	636.5	スロット数	2	射撃補正	16
エンフォーサーI型	中量型	560	1	C	B-	C-	C+	D+	重量	532	スロット数	2	射撃補正	12
エンフォーサーII型	中量型	550	1	D+	C+	D+	A-	D+	重量	522.5	スロット数	2	射撃補正	8
エンフォーサーIII型	中量型	580	1	C	B	B-	C	C-	重量	551	スロット数	2	射撃補正	16
エンフォーサーX型	中量型	650	1	C+	B	C	C+	C	重量	617.5	スロット数	2	射撃補正	16
ツェーブラA1	中量型	580	1	C	B	C+	D+	D+	重量	551	スロット数	2	索敵	270
ツェーブラA2	中量型	590	1	C	B+	B	E+	C	重量	560.5	スロット数	2	索敵	300
ツェーブラA4	中量型	600	1	C	A-	C	C	D+	重量	570	スロット数	2	索敵	255
ツェーブラ・アインス	中量型	620	1	C	A-	B	D	C+	重量	589	スロット数	2	索敵	300
E.D.G.－α	中量型	550	1	E+	A-	B	D	B-	重量	522.5	スロット数	2	射撃補正	24
E.D.G.－β	中量型	560	1	E+	A	A	E	B+	重量	532	スロット数	2	射撃補正	29
E.D.G.－δ	中量型	570	1	D-	A-	B-	C+	B-	重量	541.5	スロット数	2	射撃補正	24
E.D.G.－θ	中量型	560	1	D	A	C+	C	B-	重量	532	スロット数	2	射撃補正	29
ディスカス・プロト	中量型	720	1	B-	B	D-	C-	D+	重量	684	スロット数	2	装甲	11
ディスカス・ダート	中量型	550	1	C-	B+	C-	D-	D-	重量	522.5	スロット数	2	装甲	-4
ディスカス・ノヴァ	重量型	790	1	B	B	E+	C+	D	重量	750.5	スロット数	2	装甲	16
ディスカス・エヴォル	中量型	620	1	C	B	C+	B-	C-	重量	589	スロット数	2	装甲	1
迅牙	中量型	570	1	D	B	D-	C+	B-	重量	541.5	スロット数	2	ロックオン	92
迅牙・甲	中量型	630	1	C	B-	E+	B+	C-	重量	598.5	スロット数	2	ロックオン	112
迅牙・真	中量型	660	1	C-	A-	B+	D	B-	重量	627	スロット数	2	ロックオン	62
迅牙・飛天	中量型	670	1	C+	C+	D	A-	C+	重量	670	スロット数	2	ロックオン	122
雷花	中量型	530	1	C-	C+	C	C+	D	重量	503.5	スロット数	2	索敵	255
雷花・燕	中量型	540	1	C	C	C+	B-	D-	重量	513	スロット数	2	索敵	270
雷花・麗	中量型	570	1	C-	B+	E+	B-	C	重量	541.5	スロット数	2	索敵	180
雷花・燐	中量型	550	1	C-	B	D-	C	B	重量	522.5	スロット数	2	索敵	195
ザオレン	中量型	600	1	C	B	D+	C+	D	重量	570	スロット数	2	索敵	225
ザオレン・ガイ	中量型	650	1	C+	C+	C	C	C-	重量	617.5	スロット数	2	索敵	255
ザオレン・リアン	中量型	610	1	C-	A-	B-	D+	C	重量	579.5	スロット数	2	索敵	285
ザオレン・ダジアン	中量型	640	1	C	B	D	B	C+	重量	608	スロット数	2	索敵	210
輝星・壱式	中量型	610	1	C	B-	C-	C-	C+	重量	579.5	スロット数	2	DEF回復	49.5
輝星・弐式	中量型	640	1	C+	C+	D-	C+	C	重量	608	スロット数	2	DEF回復	37.0
輝星・参式	中量型	670	1	B-	B-	D+	C	C	重量	636.5	スロット数	2	DEF回復	37.0
輝星・空式	中量型	700	1	B-	B+	E+	D	B-	重量	665	スロット数	2	DEF回復	62.0
ヘヴィガードI型	重量型	830	1	A	E	D-	C+	C	重量	788.5	スロット数	2	ロックオン	92
ヘヴィガードIII型	重量型	890	1	A+	E+	E+	B+	C-	重量	845.5	スロット数	2	ロックオン	112
ヘヴィガードIV型	重量型	830	1	A	D	C-	C	C+	重量	788.5	スロット数	2	ロックオン	82
ヘヴィガードG型	重量型	860	1	A+	D+	D+	C-	C	重量	817	スロット数	2	ロックオン	77
ケーファーB2	重量型	770	1	B+	D	D	B	C-	重量	731.5	スロット数	2	ロックオン	102
ケーファーB4	重量型	760	1	B+	D-	D-	A-	D+	重量	722	スロット数	2	ロックオン	122
ケーファーB5	重量型	790	1	B	C	D+	C+	B	重量	750.5	スロット数	2	ロックオン	92
ケーファー・ヴァッヘ	重量型	810	1	A-	B-	E+	B	C-	重量	769.5	スロット数	2	ロックオン	102
ランドバルクI型	重量型	730	1	B	D+	B-	C-	C+	重量	693.5	スロット数	2	射撃補正	-8
ランドバルクII型	重量型	710	1	B	C	D+	B-	D	重量	674.5	スロット数	2	射撃補正	4
ランドバルクIV型	重量型	770	1	B	B-	C+	D+	C+	重量	731.5	スロット数	2	射撃補正	12
ランドバルクAT	重量型	850	1	A+	C	B-	D	C-	重量	807.5	スロット数	2	射撃補正	4
ヤーデN4	重量型	750	1	A-	C+	D	C-	D-	重量	712.5	スロット数	2	ロックオン	77
ヤーデN4S	重量型	790	1	A	C	C	D	D	重量	750.5	スロット数	2	ロックオン	62
ヤーデN5	重量型	780	1	A	B	D-	E+	D+	重量	741	スロット数	2	ロックオン	52
ヤーデ・マイスター	重量型	790	1	A	B-	E+	C+	C-	重量	750.5	スロット数	2	ロックオン	92
ジーシェン	重量型	770	1	B	C-	B	B	D+	重量	731.5	スロット数	2	スロット数	3
ジーシェン・フー	重量型	780	1	B+	D+	A-	C	C-	重量	741	スロット数	2	スロット数	3
ジーシェン・シー	重量型	790	1	A-	B+	B+	E+	D+	重量	750.5	スロット数	2	スロット数	3
ジーシェン・パイロン	重量型	860	1	A	C-	C+	B-	C	重量	817	スロット数	2	スロット数	3
ロージーR	重量型	880	1	A+	E+	D+	C	D+	重量	836	スロット数	2	装甲	35
ロージーR＋	重量型	910	1	A+	E	E	A-	C-	重量	864.5	スロット数	2	装甲	35
ロージーLM	重量型	870	1	A+	D	D	C+	D+	重量	826.5	スロット数	2	装甲	35
ロージーEVE	重量型	940	2	S	D	C	C-	C-	重量	893	スロット数	3	装甲	43
ライノス	重量型	780	1	B	C-	C-	D	B	重量	741	スロット数	2	射撃補正	0
ライノス・ウェリ	重量型	710	1	B-	C	E+	C	B-	重量	674.5	スロット数	2	射撃補正	4
ライノス・ホプロ	重量型	800	1	B+	C+	D-	C	C+	重量	760	スロット数	2	射撃補正	8
ライノス・レギオ	重量型	830	1	A-	C+	D+	D+	B-	重量	788.5	スロット数	2	射撃補正	8
